元ネタURL,使用日,テーマ
https://x.com/chigusasoichi/status/2090319355695534447,2026-08-23,cow/beefとノルマン征服の語源
https://x.com/miku_monmon3939/status/2091300779781239092,2026-08-23,たけのこの節の数と竹の成長速度
https://x.com/mika_kuramoto/status/2091377702985163079,2026-08-24,合流式下水道と昭和45年の分流式転換
https://x.com/tanaka_kuu/status/2090952677350121480,2026-08-24,閑話休題の逆用と語源
https://x.com/yubais/status/2091694455876137308,2026-08-24,フランケンシュタインは博士ですらない/原作に博士の語なし
https://x.com/tamaki1987/status/2091497145090420848,2026-08-25,赤魚の正体アラスカメヌケとメヌケの由来
https://x.com/galileo_fun/status/2090543403964535242,2026-08-25,緑色の哺乳類がいない理由（毛の色素と藻）
https://x.com/goho___/status/2088119424389956029,2026-08-25,桜梅桃李の四種は同じバラ科サクラ属（アーモンドも同属）
https://x.com/tohli/status/2091936846932975616,2026-08-26,焼き餅の砂糖醤油は西日本/シュガーロードと砂糖の値段
https://x.com/ikkosha_info/status/2092083291042017300,2026-08-26,おざなり(柳多留1811)となおざり(後撰和歌集951頃)の初出860年差
https://x.com/monthly_shota/status/2092475324365918296,2026-08-26,Jr.とIIの違い/Sr.は後付け・ゲイツ父子はII/III
https://x.com/KotoLaboRyo/status/2092529611821432937,2026-08-27,ミジンコとみじん切りの語源は同じ「微塵」（倶舎論・極微7つ／ミジンコは2mmの甲殻類）
https://x.com/KotoLaboRyo/status/2092467700958265769,2026-08-27,ミジンコとみじん切りは同語源(微塵)/微塵は極微7個分
https://x.com/shahexorshid/status/2091847694184751395,2026-08-27,語頭にラ行が立たない(アルタイ諸語と共通)/濁音も同様いばら→バラ・いだく→抱く/朝鮮語の頭音法則で李が南イ北リ
https://x.com/Shinobu_FF14/status/2092539459690594504,2026-08-27,土方の読み(ひぢ=泥の古語)/平安表記は土形・掛川発祥/どかたの辞書初出1890年露小袖
https://x.com/managesan/status/2092718970402914787,2026-08-28,各国の名字1位ランキング→グエン集中の理由(王朝交代のたび敗者側が改名/皇帝姓を騙るのは重罪)・韓国上位3姓44.6%(2015国勢調査)・日本は名字10万種超で中国4700種(笹原宏之)
https://x.com/tokei389950/status/2092902626941964343,2026-08-28,光くしゃみ反射(ACHOO症候群)/日本3.2%に対し中国25.6%・米32.4%で海外は多数派/常染色体優性遺伝で子に50%/ベーコンが閉眼実験で熱でなく光と特定
https://x.com/tenkijp/status/2093096275222942061,2026-08-28,スタージョンムーン(8月満月の別名)/チョウザメはサメでなく硬骨魚・寿命150年・1.5億年前から姿ほぼ不変(USFWS)/8月満月の呼び名は部族ごとに複数(Corn Moon等)・元は満月でなくひと月全体を指した(Old Farmer's Almanac)
https://x.com/umop_aplsbn/status/2093097814314410148,2026-08-29,ろくでなしの語源=建築の「陸(ろく)」=水平/「碌」は当て字で本義は石がごろごろ・陸の呉音がロク(漢音リク)/陸屋根・陸墨は現役の建築用語、でこぼこは「不陸(ふろく)」
https://x.com/Shinobu_FF14/status/2092530807567233219,2026-08-29,兵馬俑は元は全身極彩色/下地の生漆が乾き縮んで出土後早ければ数分で彩色が剥落(Chemistry World・TUM)/使われた漢紫(中国紫)はBaCuSi2O6の人工合成顔料で自然界に存在せず19世紀以前の人工顔料はごく僅か(SLAC SSRL)・道教のバリウムガラス副産物説
https://x.com/nikutaberuru/status/2093492078156435500,2026-08-29,加齢臭の原因物質2-ノネナール/同一物質がそばの香気成分・ビール劣化臭(濡れ段ボール、閾値約0.03µg/L)としても既知(Oxford Companion to Beer・Brewing Forward)/Haze et al. JID 2001で40歳以上のみ検出・ω7不飽和脂肪酸の酸化分解由来/「加齢臭」は1999年に資生堂が命名した造語・元ネタの「生殖性低下を知らせる機能」説は裏付けなし
https://x.com/awkwardgoogle/status/2092991778177855539,2026-08-30,竹馬の映像を「ライオン避けの部族」と誤紹介→実体は仏ランド地方の羊飼い(tchangues=長い脚/高さ90-120cm)/3本目の棒＋板で腰掛け、立ったまま毛糸を編んだ(Popular Science Monthly 1892)/1808年ジョゼフィーヌのバイヨンヌ訪問で速歩の馬車に並走/1891年アルカションのパン職人Sylvain Dornonがパリ→モスクワ2875kmを竹馬58日で踏破/1857年6月19日の landes 排水・植林法で沼が消え羊とともに廃れた
https://x.com/arexsan0910/status/2093524942898008099,2026-08-30,ローマ字でwye/wheと打つと「ゑ」が出る(wi/weは「うぃ/うぇ」に占有・MS-IME 2010ローマ字表)/ゑは元々[we]の別音で鎌倉期に混同が進み13世紀にえと統合/1946年11月16日の内閣告示「現代かなづかい」で日常表記から除外・固有名詞では存続/ヱビスがYEBISUなのは別系統で16世紀に宣教師が「え」をYEと写した名残(サッポロビール公式FAQ・明治23年発売)
https://x.com/ap_kokura/status/2093553963394760998,2026-08-30,USB3.0はゆっくり差すと2.0で認識される/Standard-AのSuperSpeed用5ピンはUSB2.0の4ピンより奥に配置され後から接触(Wikipedia USB 3.0・USB-IF)/SuperSpeedはUSB2.0と物理的に別チャネル＝1本のケーブルに計9本の線で2つのバスが同居/LTSSMでRx.Detect→Pollingに失敗するとSS側が使われずUSB2.0のみで動作(xillybus)/同じ現象がSDのUHS-IIでも起き2列目ピンが繋がらないとUHS-I(104MB/s)止まり、UHS-IIは312MB/s半二重(SD Association)/USB3.0の青(Pantone 300C)は規格上「推奨」であって必須ではない
https://x.com/yukithewhistler/status/2092903208306020771,2026-08-30,口笛の重音バズ→口笛言語シルボ・ゴメロ(カナリア諸島ラ・ゴメラ島)/スペイン語を母音2-4・子音4-10に圧縮し谷越え最大5km届く(Wikipedia Silbo Gomero)/1997年議会承認・1999年7月から島の小中学校で必修、2009年UNESCO無形文化遺産(ich.unesco.org)/Carreiras et al. Nature 2005(silbador5名+非話者5名のfMRI)で使い手は左後部側頭頭頂+前頭前運動野など言語野が反応、非話者は言語野が反応せず=脳にとって本当に言語/口笛の発音原理はヘルムホルツ共鳴で管の長さでなく口腔容積と舌位置で音程が決まる
https://x.com/csa_vc/status/2093277629050974572,2026-08-31,ベアリング知名度ネタ→世界最古のスラスト玉軸受はカリグラ帝のネミ船(1世紀AD/1928-32引揚)/青銅製Cu83.32%-Sn13.20%-Pb3.38%・16個出土・中央球体＋両端ピンで旋盤痕あり(SCIRP 2019)/従来レオナルド・ダヴィンチ(15世紀)に帰属されていた最古例を約1400年前倒し(Wikipedia Nemi ships)/もう一隻は円筒ころ軸受・回転台は像の展示台かデッキクレーン説/船は1944年5月31日夜に博物館ごと焼失、2023年Altamura&Paolucci研究で連合軍砲撃が原因と結論・青銅部品のみ残存/現代のJIS B1501鋼球G3級は真球度0.08µm・表面粗さ0.010µm(佐藤鉄工)
https://x.com/nire023/status/2094044661908377735,2026-08-31,小鳥遊(たかなし)の絵解きバズ→実在数は全国およそ30人・全国順位59,076位(名字由来net)でほぼ全員が和歌山県東牟婁郡那智勝浦町に集中(日本姓氏語源辞典/天満・勝浦に各約10人)/由来の順序が逆で先にあったのは「高梨」、清和源氏井上氏流・信濃国高井郡高梨邑の高梨盛光の系統から転化した当て字(名字由来net)・江戸期以前は分家や移住の際に漢字を変えるのが自由だった(森岡浩/家庭画報)/同じ「〜梨(なし)」を「〜無し」と絵解きする型が月見里(やまなし=山梨の異形、約300人・静岡市に約110人)にもある
https://x.com/fuji_ai_/status/2092964305633411073,2026-08-31,ジャパネット高田明が値下げでなく生産者の手作業映像で売るバズ→労働の可視化(labor illusion)はBuell&Norton, Management Science 57(9):1564-1579(2011)で実証/実験2では検索過程を見せると即答より60秒待つ方を63%(30秒は62%)が選択、非表示だと60秒待ちを選ぶのは23%まで落ちる/実験1(n=266)は航空会社名を出す透明性で知覚価値5.36 vs 進捗バーのみ4.96(p<0.01)/実験4は探索先3件の低労力条件では透明化の優位が消え36件の高労力条件でのみ有意(p<0.05)=見せかけの手間は効かない
https://x.com/mhl_bluewind/status/2094205760003801153,2026-09-01,北米北部にミミズがいない(氷期に絶滅)バズ→現在いるのは全部が非在来種でミネソタだけで欧州・アジア由来約15種・在来種ゼロ(Minnesota DNR/USFWS)/自力の拡散は年約5m=100年で0.8km未満、現在の分布はほぼ全て人為的で釣り餌の残りと鉢植えの土が主経路(U.Minnesota Worm Watch/MN DNR)/侵入後は落ち葉層(duff)が食い尽くされ、ミネソタの砂質ローム広葉樹林では約10年で森林の有機層がほぼ完全消失・サトウカエデの衰退と稚樹の更新阻害に関連(USDA Climate Hubs Northern Forests)/ミネソタでは非在来種の意図的放逐は違法
